month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,miss_rate,seed
2026-01,0.10944515013232718,4.769394753442561,5.32154971587851,-0.20989094466236902,68.3,13,11.565887551519282,-20.989094466236903,2C_miss0.05_seed2,2C,0.05,2
2026-02,0.26671302175257583,5.275673716068153,6.9481649077680085,-0.24177013010295,60.1,11,30.566569490762664,-24.177013010295,2C_miss0.05_seed2,2C,0.05,2
2026-03,0.22815079004307778,6.947470126016898,8.728804096845957,-0.2783284311585532,36.0,12,25.627474487359937,-27.832843115855322,2C_miss0.05_seed2,2C,0.05,2
2026-04,0.1930651370509776,8.727931260078837,10.587705926543878,-0.09533914744419303,36.0,12,21.296179970055775,-9.533914744419302,2C_miss0.05_seed2,2C,0.05,2
2026-05,0.13330054833545787,10.586647208887987,12.09744239677636,-0.09502690556500881,32.2,12,14.259335126106066,-9.50269055650088,2C_miss0.05_seed2,2C,0.05,2
2026-06,0.3792011318102952,12.096232713021877,17.67577733037896,-0.2113058144879909,54.7,12,46.11168832751842,-21.13058144879909,2C_miss0.05_seed2,2C,0.05,2
2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,2C_miss0.05_seed3,2C,0.05,3
2025-02,0.10255935438652852,1.0679732581372436,1.1834359808219386,-0.06766700206675302,20.3,13,10.800306480031029,-6.766700206675303,2C_miss0.05_seed3,2C,0.05,3
2025-03,0.3505035385063208,1.182995338634647,1.6802214394407622,-0.28689819685508466,65.9,11,41.97822836802616,-28.689819685508468,2C_miss0.05_seed3,2C,0.05,3
2025-04,0.06632843698207498,1.6800534256976452,1.7954470267410652,-0.2940311707059142,80.0,16,6.857761994672207,-29.40311707059142,2C_miss0.05_seed3,2C,0.05,3
2025-05,0.16267498321787036,1.795267491015327,2.112620276225892,-0.17783438264389462,48.0,12,17.665419517307136,-17.78343826438946,2C_miss0.05_seed3,2C,0.05,3
2025-06,0.08989159239832537,2.1124090247610186,2.3113241987854143,-0.1815275883768277,48.0,12,9.405567332454945,-18.152758837682768,2C_miss0.05_seed3,2C,0.05,3
2025-07,0.05425857473835014,2.3110930779217713,2.4401979943944747,-0.07525493122970295,32.4,14,5.575755909827906,-7.525493122970294,2C_miss0.05_seed3,2C,0.05,3
2025-08,0.09033648133194908,2.4399539867956186,2.6709004495739426,-0.09722674102696938,32.2,12,9.454251487355858,-9.722674102696939,2C_miss0.05_seed3,2C,0.05,3
2025-09,0.05976242129193255,2.6706333728830423,2.8353860021726804,-0.10192151979435926,32.2,12,6.1584306755040785,-10.192151979435927,2C_miss0.05_seed3,2C,0.05,3
2025-10,0.11288325522375074,2.8351024777489204,3.1742181152522364,-0.16468621952538975,51.9,16,11.950122939871921,-16.468621952538975,2C_miss0.05_seed3,2C,0.05,3
2025-11,0.20004930992724415,3.1739007093112725,3.8771899402113608,-0.10856216691394216,36.2,14,22.146298692623635,-10.856216691394216,2C_miss0.05_seed3,2C,0.05,3
2025-12,0.17792263879699943,3.8768022406026432,4.6322063488840115,-0.10572189727159664,32.2,12,19.47328916858513,-10.572189727159664,2C_miss0.05_seed3,2C,0.05,3
2026-01,0.10944515013232718,4.631743151409383,5.16796212635027,-0.20384661191397013,68.3,13,11.565887551519282,-20.384661191397015,2C_miss0.05_seed3,2C,0.05,3
2026-02,0.2639236030961717,5.123410173970503,6.728835120329375,-0.24388220354986723,60.1,11,30.202872153813942,-24.38822035498672,2C_miss0.05_seed3,2C,0.05,3
2026-03,0.21138638009595384,6.7281622704603965,8.312732879371062,-0.2921608610246459,36.0,12,23.538959280728335,-29.21608610246459,2C_miss0.05_seed3,2C,0.05,3
2026-04,0.18975958475467902,8.311901647645403,10.049752485643854,-0.11201621360298197,36.0,12,20.895891056278117,-11.201621360298198,2C_miss0.05_seed3,2C,0.05,3
