scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,timestamp,date,guard_reason,trend_alignment,from_active_position,to_position,turnover,order_count,entry_cost_log,next_1bar_target_log_return,next_3bar_target_log_return,next_8bar_target_log_return,close,natr_30,trend_close_ema_gap_bps_60,trend_adx_30
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 16:30:00+00:00,2025-02-25,adverse_shock_cut,no_strong_trend,-8.0,0.0,8.0,1,-0.016,0.0,0.0,0.0,87256.8,0.7893222219304354,-896.6382019020535,19.86495536671592
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 16:45:00+00:00,2025-02-25,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,-2.3787903505834152e-05,0.0003906785450773498,0.00045431253006871235,87429.0,0.7830156303521142,-896.6382019020535,19.86495536671592
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 17:00:00+00:00,2025-02-25,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.0030914622749520504,0.021077532881719208,0.0715368958718301,87449.8,0.7805430211906699,-896.6382019020535,19.86495536671592
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 19:45:00+00:00,2025-02-25,adverse_shock_cut,no_strong_trend,-8.0,0.0,8.0,1,-0.016,-0.0,0.0,0.0,87914.3,0.7635138055694768,-896.6382019020535,19.86495536671592
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 20:00:00+00:00,2025-02-25,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,-0.0009454065638461629,-0.00037499269576279914,-0.0012892250179131538,87810.2,0.7573226766185561,-896.6382019020535,19.86495536671592
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 20:15:00+00:00,2025-02-25,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,0.03664339145339568,0.06576277000785069,-0.0138951933207494,88644.3,0.7663320391173531,-896.6382019020535,19.86495536671592
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-26 02:15:00+00:00,2025-02-26,main,no_strong_trend,-8.0,8.0,16.0,2,-0.032,-0.015382591353841235,0.037377219197622935,0.032121354369508026,88809.0,0.568667978042049,-685.5857411448341,21.92583741068247
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-26 14:00:00+00:00,2025-02-26,adverse_shock_cut,no_strong_trend,8.0,0.0,8.0,1,-0.016,-0.0,0.0,0.0,86444.3,0.4414037161921288,-630.719951552905,24.183163488746743
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-26 14:15:00+00:00,2025-02-26,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,-0.0009554432445867179,-0.002810500728860177,-0.0011047199719429913,85862.6,0.4752974413559921,-630.719951552905,24.183163488746743
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-26 14:30:00+00:00,2025-02-26,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.08283027470933746,-0.08876488471243249,-0.04610226544643581,86686.9,0.5034047622562796,-630.719951552905,24.183163488746743
