date,bars,net_log,gross_log,cost_log,turnover,orders,active_bars,large_active_bars,worst_bar_log_return,net_return_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-02-06,96,-0.24660141294015453,-0.20360141294015452,-0.043000000000000003,21.5,4,96,55,-0.04398311001003142,-21.854789183746504,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-07,96,-0.2425740142001022,-0.1585740142001022,-0.084,42.0,6,95,93,-0.10538000648184707,-21.539432653172284,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-08,96,0.003092296064531652,0.003092296064531652,0.0,0.0,0,96,96,-0.01934888884964714,0.3097082144060348,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-09,96,-0.2060399724881875,-0.1500399724881875,-0.056,28.0,4,96,94,-0.04892720965761832,-18.61994539999451,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-10,96,-0.05204490210075689,-0.024044902100756896,-0.028,14.0,2,96,95,-0.044653933287147396,-5.071375906053732,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-11,96,-0.030689613830710512,-0.0026896138307105147,-0.028,14.0,2,96,95,-0.0413637166608496,-3.0223468410363385,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-12,96,-0.44463558144439164,-0.33263558144439165,-0.112,56.0,8,93,89,-0.16087766172008666,-35.89421531544264,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-13,96,-0.20293048478823816,-0.17493048478823817,-0.028,14.0,2,96,95,-0.03279884644608089,-18.3665012847258,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-14,96,-0.026570135288902702,0.001429864711097295,-0.028,14.0,2,96,95,-0.04895488933292036,-2.6220254883263516,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-15,96,0.006670322189023636,0.006670322189023636,0.0,0.0,0,96,96,-0.021125376101835514,0.6692618334666056,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-16,96,-0.10857938477047929,-0.0805793847704793,-0.028,14.0,2,96,95,-0.05203234627923626,-10.289232469676312,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-17,96,0.023633802092927425,0.023633802092927425,0.0,0.0,0,96,96,-0.03782322563981566,2.3915293590722975,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-18,96,-0.036588233684815806,-0.008588233684815805,-0.028000000000000004,14.0,2,95,94,-0.08470894200447597,-3.592697357208219,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-19,96,0.038849011597239816,0.06684901159723981,-0.028,14.0,2,96,95,-0.035103380703899845,3.9613502217080487,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-20,96,0.11890710847967867,0.11890710847967867,0.0,0.0,0,96,96,-0.054835319999069654,12.626529293367827,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-21,96,-0.07269811348754938,-0.01669811348754937,-0.056,28.0,4,95,93,-0.08378857466844346,-7.011849365759404,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-22,96,-0.05927393704606085,-0.03127393704606085,-0.028,14.0,2,96,95,-0.02483721053715371,-5.755143778270688,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-23,96,-0.144548065943514,-0.116548065943514,-0.028,14.0,2,96,95,-0.03308484761117759,-13.458668550409724,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-24,96,0.35086224531193544,0.35086224531193544,0.0,0.0,0,96,96,-0.029032175075156985,42.02916606009308,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-25,96,0.14570127549407808,0.22970127549407807,-0.084,42.0,6,93,90,-0.10196536131737476,15.68505568180958,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-26,96,0.11509858770691261,0.22709858770691263,-0.112,56.0,8,94,92,-0.08516692199429586,12.198404595381863,1G_04pct_delay0_fail,1G,0.002,0.004,0
