config_id,top_k,lookback_months,min_pos_rate,score_mode,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,total_eval_return_pct,non_positive_months,min_monthly_orders,months,hard_pass
143,20,0,0.55,pos_mean,44.31963777233016,-33.01955700367536,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
177,50,0,0.55,mean,44.31963777233016,-33.01955700367537,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
178,50,0,0.55,mean_minus_std,44.31963777233016,-33.01955700367537,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
179,50,0,0.55,pos_mean,44.31963777233016,-33.01955700367536,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
54,5,36,0.45,mean,-72.86561298190107,-96.7546842177944,-50.11448117260073,-58.67037610504233,-58.67037610504233,-99.81844303117153,26,10,41,False
30,3,0,0.5,mean,13.669674555853925,-17.400699429631292,-58.75441524134357,-29.52023890502104,-58.75441524134357,-72.706271014201,19,3,41,False
60,5,36,0.55,mean,93.56472729470691,-42.9276790209978,-59.055995080656245,-30.378274997479256,-59.055995080656245,-68.50897078958043,21,0,41,False
57,5,36,0.5,mean,194.4384695556706,-94.75742364066211,-59.95762320812174,-51.90150811705463,-59.95762320812174,-97.02702933601806,26,10,41,False
114,20,12,0.55,mean,-71.55062731350209,1.879469742220111,-60.78123759813513,16.778773699374085,-60.78123759813513,-86.72553075357295,27,18,41,False
38,5,12,0.45,pos_mean,-90.52042629151555,-75.89585048717521,-61.20973291466017,-6.969894895733744,-61.20973291466017,-99.17543119271961,29,10,41,False
41,5,12,0.5,pos_mean,-90.52042629151555,-75.89585048717521,-61.20973291466017,-6.969894895733744,-61.20973291466017,-99.17543119271961,29,10,41,False
44,5,12,0.55,pos_mean,-88.79355244546174,-49.07521236220498,-61.20973291466017,-6.969894895733744,-61.20973291466017,-97.940586899306,29,10,41,False
