strategy,period,return_pct,max_drawdown_pct,trades
brainctl_sma_sample,2020-01,21.88180283639889,-9.873394364090382,15
brainctl_sma_sample,2020-02,-9.57954865026438,-19.58317236309357,10
brainctl_sma_sample,2020-03,-7.189304538098673,-37.579563314945005,36
brainctl_sma_sample,2020-04,28.373730988975243,-27.841498704116706,16
brainctl_sma_sample,2020-05,14.86337517043248,-11.796196973102191,18
brainctl_sma_sample,2020-06,-5.536190644456851,-14.623344875679079,10
brainctl_sma_sample,2020-07,19.778605443021057,-14.24572726936617,6
brainctl_sma_sample,2020-08,-7.0287829429790065,-15.96711302978997,14
brainctl_sma_sample,2020-09,-10.600458429570525,-26.67032970060047,14
brainctl_sma_sample,2020-10,30.54060008518933,-24.0349379831177,10
brainctl_sma_sample,2020-11,28.763847425985567,-18.160984711745208,16
brainctl_sma_sample,2020-12,28.227833515737277,-19.557273075620408,18
brainctl_sma_sample,2021-01,-8.056306479622588,-33.64383130425593,62
brainctl_sma_sample,2021-02,8.258693723438014,-36.54565679516985,36
brainctl_sma_sample,2021-03,16.33007506059101,-34.647688678197916,36
brainctl_sma_sample,2021-04,-6.3572551205581584,-37.66111404662043,15
brainctl_sma_sample,2021-05,-40.92303579008419,-61.660922302075626,47
brainctl_sma_sample,2021-06,-17.60674641801333,-70.50952352071697,34
brainctl_sma_sample,2021-07,1.1151527342085021,-70.67798672634777,22
brainctl_sma_sample,2021-08,12.434596611491555,-68.148500459656,22
brainctl_sma_sample,2021-09,-6.611948136845058,-65.16683864304345,18
brainctl_sma_sample,2021-10,24.40781947798072,-62.98513530758567,22
brainctl_sma_sample,2021-11,-8.65584159593401,-59.995577005065684,14
brainctl_sma_sample,2021-12,-12.470127368097728,-64.05741340001714,20
brainctl_sma_sample,2022-01,-14.823829584320025,-72.58293497327082,18
brainctl_sma_sample,2022-02,7.053510354689219,-71.07186079711015,19
brainctl_sma_sample,2022-03,5.112999115314176,-69.50726501721265,15
brainctl_sma_sample,2022-04,-12.863064689278414,-68.95053068476804,12
brainctl_sma_sample,2022-05,-20.17894053271506,-77.62861798100764,28
brainctl_sma_sample,2022-06,-31.24853851591729,-84.4687600240842,38
brainctl_sma_sample,2022-07,9.914138204285328,-83.15838427927899,26
brainctl_sma_sample,2022-08,-16.36648168244421,-84.72263237477445,14
brainctl_sma_sample,2022-09,2.796277324956642,-85.59615504291259,14
brainctl_sma_sample,2022-10,6.187954015034425,-84.76246077086958,6
brainctl_sma_sample,2022-11,-13.510678521508767,-86.5984032618115,16
brainctl_sma_sample,2022-12,-6.036760373558259,-86.24474412103784,4
brainctl_sma_sample,2023-01,28.571953450438127,-86.13408838417925,10
brainctl_sma_sample,2023-02,-9.980603193427019,-84.09408173798651,12
brainctl_sma_sample,2023-03,22.33914244458226,-85.74326616791838,14
brainctl_sma_sample,2023-04,5.192911077214202,-81.53206293827292,6
brainctl_sma_sample,2023-05,-6.605679280842192,-81.57519360124714,2
brainctl_sma_sample,2023-06,4.611732828908854,-82.46057589852653,10
brainctl_sma_sample,2023-07,-5.0214631090186534,-80.92417193968168,4
brainctl_sma_sample,2023-08,-15.719851460951107,-84.31977794082411,7
brainctl_sma_sample,2023-09,5.396750226021241,-84.43737289323622,3
brainctl_sma_sample,2023-10,19.108361814580334,-83.49552212839583,10
brainctl_sma_sample,2023-11,7.249195986914425,-79.95479678123122,2
brainctl_sma_sample,2023-12,10.12832278233975,-78.26391664009711,14
brainctl_sma_sample,2024-01,-1.8843623952023325,-78.08823520474326,18
brainctl_sma_sample,2024-02,31.981832342839844,-76.77912898590073,12
brainctl_sma_sample,2024-03,-2.434344346591044,-73.80281755207004,24
brainctl_sma_sample,2024-04,-19.99712833822943,-76.15753063107951,14
brainctl_sma_sample,2024-05,2.864477961524603,-77.53843593994775,10
brainctl_sma_sample,2024-06,-7.738543086586425,-78.3940678032275,6
brainctl_sma_sample,2024-07,0.7644114116117651,-80.25732937095006,16
brainctl_sma_sample,2024-08,-14.72425957138218,-82.26126054644337,22
brainctl_sma_sample,2024-09,4.701876704126939,-82.18323975037065,12
brainctl_sma_sample,2024-10,6.440116428372855,-80.43728109207281,10
brainctl_sma_sample,2024-11,32.625697092132256,-78.96849200554027,16
brainctl_sma_sample,2024-12,-16.260303844568156,-76.00909143542165,12
brainctl_sma_sample,2025-01,3.8231180550267085,-77.37981551444928,14
brainctl_sma_sample,2025-02,-18.907875501236592,-80.47427795411645,16
brainctl_sma_sample,2025-03,-2.470503057229645,-81.46529811156654,16
brainctl_sma_sample,2025-04,9.618445235131468,-81.28446024974967,12
brainctl_sma_sample,2025-05,7.383676036478604,-78.09196330208505,8
brainctl_sma_sample,2025-06,-3.168530053125418,-78.8784674195087,10
brainctl_sma_sample,2025-07,7.119725846106784,-77.45997989161033,4
brainctl_sma_sample,2025-08,-1.0691329516524073,-76.23385098169409,4
brainctl_sma_sample,2025-09,5.62897859931939,-75.92484894454105,4
brainctl_sma_sample,2025-10,-1.7886818298123774,-75.81321368999396,10
brainctl_sma_sample,2025-11,-21.177240190542612,-82.05135072174548,16
brainctl_sma_sample,2025-12,-3.631713937972636,-81.61153163649519,6
brainctl_sma_sample,2026-01,-9.318455242942125,-82.77661955505623,10
brainctl_sma_sample,2026-02,-19.483437858958595,-86.6798599694958,20
brainctl_sma_sample,2026-03,2.552319579582707,-86.42998825863666,14
