symbol,timestamp,funding_interval_hours,funding_rate
ADAUSDT,2023-04-05 08:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-04-05 16:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-04-06 00:00:00+00:00,8,6.476e-05
ADAUSDT,2023-04-06 08:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-04-06 16:00:00+00:00,8,-8.35e-06
ADAUSDT,2023-04-07 00:00:00.006000+00:00,8,5.533e-05
ADAUSDT,2023-04-07 08:00:00.005000+00:00,8,5.566e-05
ADAUSDT,2023-04-07 16:00:00+00:00,8,1.091e-05
ADAUSDT,2023-04-08 00:00:00+00:00,8,0.0001
ADAUSDT,2023-04-08 08:00:00.014000+00:00,8,9.166e-05
ADAUSDT,2023-04-08 16:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-04-09 00:00:00.013000+00:00,8,1.57e-06
ADAUSDT,2023-04-09 08:00:00.024000+00:00,8,0.0001
ADAUSDT,2023-04-09 16:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-04-10 00:00:00+00:00,8,0.0001
ADAUSDT,2023-04-10 08:00:00.010000+00:00,8,6.2e-06
ADAUSDT,2023-04-10 16:00:00.006000+00:00,8,1.975e-05
ADAUSDT,2023-04-11 00:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-04-11 08:00:00.007000+00:00,8,0.0001
