candidate_id,hard_pass_complete_years,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct,bucket_family,lookback_months,min_abs_mean_bps,min_samples,leverage
calendar_weekday_lb12_thr0p0_min50_lev4p0,False,-98.08492124775772,-86.57354708281233,-14.136313597666595,-69.91302075859338,-44.78752342677531,-86.57354708281233,25,-77.88244229926003,2,682,5128.0,5.128,-99.97784002895135,weekday,12.0,0.0,50,4.0
calendar_weekday_lbexpanding_thr0p5_min20_lev1p0,False,-7.052152273961687,1.8814902725776683,-15.88478597846964,11.417730569022023,-2.6546555115836923,-15.88478597846964,29,-9.272519950253988,0,262,262.0,0.262,-65.39136865632541,weekday,,0.5,20,1.0
calendar_weekday_lbexpanding_thr0p5_min50_lev1p0,False,-7.052152273961687,1.8814902725776683,-15.88478597846964,11.417730569022023,-2.6546555115836923,-15.88478597846964,29,-9.272519950253988,0,262,262.0,0.262,-65.39136865632541,weekday,,0.5,50,1.0
calendar_weekday_lbexpanding_thr0p5_min20_lev2p0,False,-13.606976030971952,3.7983806016133936,-29.24630770112143,24.139106851511862,-5.238839064315581,-29.24630770112143,29,-17.685243638229398,0,262,524.0,0.524,-88.02242636517624,weekday,,0.5,20,2.0
calendar_weekday_lbexpanding_thr0p5_min50_lev2p0,False,-13.606976030971952,3.7983806016133936,-29.24630770112143,24.139106851511862,-5.238839064315581,-29.24630770112143,29,-17.685243638229398,0,262,524.0,0.524,-88.02242636517624,weekday,,0.5,50,2.0
calendar_weekday_lbexpanding_thr0p5_min20_lev4p0,False,-25.362454094869456,7.741038155173929,-49.939150260756115,54.10517849891079,-10.203223781213167,-49.939150260756115,29,-32.242808851023455,0,262,1048.0,1.048,-98.56537729822375,weekday,,0.5,20,4.0
calendar_weekday_lbexpanding_thr0p5_min50_lev4p0,False,-25.362454094869456,7.741038155173929,-49.939150260756115,54.10517849891079,-10.203223781213167,-49.939150260756115,29,-32.242808851023455,0,262,1048.0,1.048,-98.56537729822375,weekday,,0.5,50,4.0
calendar_weekday_lb12_thr0p5_min20_lev1p0,False,-45.00650935434189,-27.24863287488407,-27.405317543491126,-16.4996746268507,24.70307144315107,-27.405317543491126,31,-16.19241408418457,0,425,480.0,0.48000000000000004,-86.76204504657122,weekday,12.0,0.5,20,1.0
calendar_weekday_lb12_thr0p5_min50_lev1p0,False,-45.00650935434189,-27.24863287488407,-27.405317543491126,-16.4996746268507,24.70307144315107,-27.405317543491126,31,-16.19241408418457,0,425,480.0,0.48000000000000004,-86.76204504657122,weekday,12.0,0.5,50,1.0
calendar_weekday_lb12_thr0p5_min20_lev2p0,False,-69.75715986605914,-47.07238581426601,-47.30012079038642,-30.276956625782002,55.5085602735564,-47.30012079038642,31,-29.762885429632156,0,425,960.0,0.9600000000000001,-98.2475654865099,weekday,12.0,0.5,20,2.0
calendar_weekday_lb12_thr0p5_min50_lev2p0,False,-69.75715986605914,-47.07238581426601,-47.30012079038642,-30.276956625782002,55.5085602735564,-47.30012079038642,31,-29.762885429632156,0,425,960.0,0.9600000000000001,-98.2475654865099,weekday,12.0,0.5,50,2.0
